museum,visitors,social,meters
Museum of Modern Art (New York),1.160686,13.346854,15800
Metropolitan Museum of Art (New York),1.958,10.708555,58820
Tate galleries (United Kingdom),1.681181,10.339711,34500
Musée du Louvre (Paris),2.825,9.288944,72735
Guggenheim Museum (New York),0.530967,6.975235,11000
British Museum (London),1.32712,5.972949,92000
National Gallery (London),0.708924,4.301692,13000
Museo Nacional del Prado (Madrid),1.175296,4.065342,47700
Victoria and Albert Museum (London),0.857742,4.030747,30658
State Russian Museum (St Petersburg),2.260231,0.338,58820
National Gallery of Art (DC),1.704606,0.546,11000
State Hermitage Museum (St. Petersburg),1.649443,0.722,66842
Reina Sofia (Madrid),1.643108,0.48,92000
Vatican Museums (Vatican Cty),1.61253,0.351,13000
State Tretyakov Gallery (Moscow),1.580819,0.578,47700
Centre Pompidou (Paris),1.50104,1.2,30658
